Cleaned_Tokens
"['lord', 'god', 'angel']"
"['blessing', 'hated', 'needle', 'young', 'strong', 'forty', 'best', 'thing', 'positive', 'got']"
"['stage', 'small', 'cell', 'stage', 'year', 'took', 'chemo', 'immune', 'therapy', 'reason', 'stopped', 'hand', 'foot', 'broke', 'look', 'like', 'burned', 'lived', 'month', 'popcorn', 'today', '230', 'pound', 'eating', 'mexican', 'food', 'cancer', 'demon', 'used', 'much', 'prayer', 'caring', 'wife', 'good', 'oncologist', 'healing', 'got', 'spirit', 'fight', 'loved', 'one', 'live']"
"['get', 'well', 'soon']"
"['get', 'well', 'soon']"
"['please', 'ead', 'fine', 'father', 'strong', 'man', 'surgery', 'colon', 'rectal', 'cancer', 'died', 'lot', 'suffering', 'three', 'month', 'doctor', 'thought', 'cancer', 'wanted', 'operate', 'already', 'studied', 'lot', 'cancer', 'refused', 'operation', 'doctor', 'told', 'back', 'six', 'month', 'year', 'active', 'life', 'passed', 'want', 'beat', 'cancer', 'chemotherapy', 'mean', 'destroy', 'cancer', 'cell', 'also', 'many', 'healthy', 'cell', 'need', 'bad', 'thing', 'may', 'destroy', 'immune', 'system', 'one', 'tell', 'body', 'cancer', 'know', 'fight', 'cancer', 'radiotherapy', 'well', 'known', 'cause', 'cancer', 'underlying', 'idea', 'cancer', 'cell', 'die', 'true', 'destroys', 'also', 'turn', 'healthy', 'cell', 'new', 'cancer', 'cell', 'hope', 'follow', 'radiation', 'therapy', 'dos', 'radiation', 'precise', 'targeted', 'cancer', 'surgery', 'solution', 'often', 'spread', 'cancer', 'part', 'thus', 'creates', 'new', 'cancer', 'prayer', 'god', 'yes', 'god', 'really', 'exists', 'asks', 'love', 'people', 'good', 'deed', 'search', 'persistently', 'sin', 'mistake', 'look', 'excuse', 'value', 'god', 'considers', 'deserve', 'forgiven', 'hide', 'behind', 'exchuses', 'like', 'anything', 'others', 'searched', 'sin', 'mistake', 'several', 'month', 'stop', 'eating', 'meat', 'sweet', 'easier', 'think', 'daily', 'half', 'liter', 'beetroot', 'juice', 'seed', 'kind', 'cancer', 'tragedy', 'fight', 'calmly', 'moderate', 'action', 'would', 'good', 'strength', 'follow', 'treatment', 'rudolf', 'breuss', 'sure', 'help', 'please', 'god', 'healthy']"
"['delia', 'ask', 'type', 'cancer']"
"['got', 'bowl', 'cancer', 'redoaion', 'painful', 'sad', 'happy', 'lucky']"
"['done', 'well', 'hour']"
"['get', 'nail', 'done']"
"['hope', 'got', 'rid', 'still', 'got', 'happy', 'god', 'bless', 'friend']"
"['baby', 'going', 'though', 'thing', 'glad', 'contacted', 'day', 'great', 'help', 'lov', 'best', 'friend', 'cancer', 'spread', 'life']"
"['sorry', 'know', 'going', 'wish', 'best', 'journey']"
"['ciento', 'mucho', 'proselitismo', 'pero', 'dios', 'ayudarte', 'poderoso']"
"['curry', 'blake', 'jglm', 'ministry', 'changed', 'life', 'hope', 'able', 'change', 'well']"
"['manage', 'hair', 'loss']"
"['sorry', 'hear', 'cancer', 'type', 'cancer', 'battling']"
"['thank', 'much', 'sharing', 'really', 'brave']"
"['radiation', 'chemos', 'done', 'lost', 'pound', 'come', 'back', 'cancer', 'behind', 'win']"
"['infusion', 'nothing', 'ordeal', 'come', 'afterwards', 'begin', 'deal', 'side', 'effect', 'chemo', 'neuropathy', 'nausea', 'diarrhea', 'acid', 'reflux', 'infinitum', 'experience', 'discomfort', 'sensation', 'acquired', 'language', 'describe', 'exactly', 'pain', 'exactly', 'pressure', 'exactly', 'nausea', 'exactly', 'know', 'explain', 'really', 'symptom', 'caused', 'disease', 'cure']"
