data,tokens
comment : feel bad im proud tyson staying supporting,"['comment', 'feel', 'bad', 'im', 'proud', 'tyson', 'stay', 'support']"
comment : jah katob,"['comment', 'jah', 'katob']"
comment : e ok miemi place de tine oircum ai fi,"['comment', 'e', 'ok', 'miemi', 'place', 'de', 'tine', 'oircum', 'ai', 'fi']"
comment : love women,"['comment', 'love', 'women']"
comment : stay strong girl youll grow back heal please dye hair colour looks good,"['comment', 'stay', 'strong', 'girl', 'youll', 'grow', 'back', 'heal', 'please', 'dye', 'hair', 'colour', 'look', 'good']"
comment : shes still pretty,"['comment', 'shes', 'still', 'pretty']"
comment : omg nilou,"['comment', 'omg', 'nilou']"
comment : hyedra,"['comment', 'hyedra']"
comment : get better soon kyedae,"['comment', 'get', 'better', 'soon', 'kyedae']"
comment : vaccinated,"['comment', 'vaccinate']"
comment : technically bald underneath,"['comment', 'technically', 'bald', 'underneath']"
comment : kydae redhead,"['comment', 'kydae', 'redhead']"
comment : praying speedy recovery,"['comment', 'pray', 'speedy', 'recovery']"
comment : buy one endd,"['comment', 'buy', 'one', 'endd']"
comment : l,"['comment', 'l']"
comment : legit looks like tenz without hair crazy,"['comment', 'legit', 'look', 'like', 'tenz', 'without', 'hair', 'crazy']"
comment : lol,"['comment', 'lol']"
comment : beautiful kyedae,"['comment', 'beautiful', 'kyedae']"
comment : omg kushina naruto,"['comment', 'omg', 'kushina', 'naruto']"
comment : hope showing weakness someone trust cuz human need,"['comment', 'hope', 'show', 'weakness', 'someone', 'trust', 'cuz', 'human', 'need']"
comment : hate twitch streamers always respect strong woman,"['comment', 'hate', 'twitch', 'streamers', 'always', 'respect', 'strong', 'woman']"
comment : makima san,"['comment', 'makima', 'san']"
comment : damn man going bald easy task,"['comment', 'damn', 'man', 'go', 'bald', 'easy', 'task']"
comment : feel pain shes looking hope youll better kyedae,"['comment', 'feel', 'pain', 'shes', 'look', 'hope', 'youll', 'better', 'kyedae']"
comment : hope doesnt force share everything internet tho sending best wishes recovery kyedae,"['comment', 'hope', 'doesnt', 'force', 'share', 'everything', 'internet', 'tho', 'send', 'best', 'wish', 'recovery', 'kyedae']"
comment : bald,"['comment', 'bald']"
comment : wait happened,"['comment', 'wait', 'happen']"
comment : tennz hittin dat plundger,"['comment', 'tennz', 'hittin', 'dat', 'plundger']"
comment : actually stopping crying anyone see eyes man shes strong,"['comment', 'actually', 'stop', 'cry', 'anyone', 'see', 'eye', 'man', 'shes', 'strong']"
comment : omg w kyedae staying strong queen,"['comment', 'omg', 'w', 'kyedae', 'stay', 'strong', 'queen']"
comment : cancer,"['comment', 'cancer']"
comment : pretty,"['comment', 'pretty']"
comment :,['comment']
comment : cancer,"['comment', 'cancer']"
comment : looks nice hope live,"['comment', 'look', 'nice', 'hope', 'live']"
comment : u bald tho,"['comment', 'u', 'bald', 'tho']"
comment : still beautiful,"['comment', 'still', 'beautiful']"
comment : looks good,"['comment', 'look', 'good']"
comment : bald wraith cosplay,"['comment', 'bald', 'wraith', 'cosplay']"
comment : good luck amazing,"['comment', 'good', 'luck', 'amaze']"
comment : hang tenz guys get together,"['comment', 'hang', 'tenz', 'guy', 'get', 'together']"
comment : u tell one strong woman,"['comment', 'u', 'tell', 'one', 'strong', 'woman']"
comment : shes alot tougher thought,"['comment', 'shes', 'alot', 'tougher', 'think']"
comment : baldae,"['comment', 'baldae']"
comment : 🥺,['comment']
comment : going cry,"['comment', 'go', 'cry']"
comment : happend kayde bald,"['comment', 'happend', 'kayde', 'bald']"
comment : kyedae chadwick boseman challenge lets go,"['comment', 'kyedae', 'chadwick', 'boseman', 'challenge', 'let', 'go']"
comment : still pretty hair hair,"['comment', 'still', 'pretty', 'hair', 'hair']"
comment : really hope beats cancer,"['comment', 'really', 'hope', 'beat', 'cancer']"
comment : hope everything goes well recovers safely,"['comment', 'hope', 'everything', 'go', 'well', 'recover', 'safely']"
comment : worst things happen best quality people dont cancer ive got pretty much everything else think know exactly kyedae feels sucks,"['comment', 'worst', 'things', 'happen', 'best', 'quality', 'people', 'dont', 'cancer', 'ive', 'get', 'pretty', 'much', 'everything', 'else', 'think', 'know', 'exactly', 'kyedae', 'feel', 'suck']"
comment : everything upsides,"['comment', 'everything', 'upsides']"
comment : stay strong girl u recover time know,"['comment', 'stay', 'strong', 'girl', 'u', 'recover', 'time', 'know']"
comment : kushina uzumaki,"['comment', 'kushina', 'uzumaki']"
comment : well least lying,"['comment', 'well', 'least', 'lie']"
comment : shes looking like zombie atleast,"['comment', 'shes', 'look', 'like', 'zombie', 'atleast']"
comment : give ninjae,"['comment', 'give', 'ninjae']"
comment : smile looks like tenz,"['comment', 'smile', 'look', 'like', 'tenz']"
comment : dont worry buddy eat donut fun,"['comment', 'dont', 'worry', 'buddy', 'eat', 'donut', 'fun']"
comment : stuff alters ya mine went blonde straight hair sessions curly brown hair,"['comment', 'stuff', 'alter', 'ya', 'mine', 'go', 'blonde', 'straight', 'hair', 'sessions', 'curly', 'brown', 'hair']"
comment : looks like makise kurisu,"['comment', 'look', 'like', 'makise', 'kurisu']"
comment :,['comment']
comment : im trying disrespectful last thing want watch much content kyedae much would like started treatment starting lose hair hence shaving bald kind got ahead,"['comment', 'im', 'try', 'disrespectful', 'last', 'thing', 'want', 'watch', 'much', 'content', 'kyedae', 'much', 'would', 'like', 'start', 'treatment', 'start', 'lose', 'hair', 'hence', 'shave', 'bald', 'kind', 'get', 'ahead']"
comment : horrible,"['comment', 'horrible']"
comment : looks like tenz wig,"['comment', 'look', 'like', 'tenz', 'wig']"
comment : baldies basics education learning,"['comment', 'baldies', 'basics', 'education', 'learn']"
comment : ugly,"['comment', 'ugly']"
comment : shes pale,"['comment', 'shes', 'pale']"
comment : obviously would prefer hair think shed look good rocking shaved head people features rock hair shaved,"['comment', 'obviously', 'would', 'prefer', 'hair', 'think', 'shed', 'look', 'good', 'rock', 'shave', 'head', 'people', 'feature', 'rock', 'hair', 'shave']"
comment : cute red pink 🫶,"['comment', 'cute', 'red', 'pink']"
comment : try different wigs look natural theres definitely ’ look bad though,"['comment', 'try', 'different', 'wigs', 'look', 'natural', 'theres', 'definitely', 'look', 'bad', 'though']"
comment : became kyedae uzumakii,"['comment', 'become', 'kyedae', 'uzumakii']"
comment : kyedae dont worry pray beat shit stay strong,"['comment', 'kyedae', 'dont', 'worry', 'pray', 'beat', 'shit', 'stay', 'strong']"
comment : god bless feel well,"['comment', 'god', 'bless', 'feel', 'well']"
comment : sad,"['comment', 'sad']"
comment : danger tenz danger,"['comment', 'danger', 'tenz', 'danger']"
comment : man strong much respect shes gon na beat guys wish best,"['comment', 'man', 'strong', 'much', 'respect', 'shes', 'gon', 'na', 'beat', 'guy', 'wish', 'best']"
comment : kushina,"['comment', 'kushina']"
comment : chigiri,"['comment', 'chigiri']"
comment : stop milking views please lol,"['comment', 'stop', 'milk', 'view', 'please', 'lol']"
comment : gives shit,"['comment', 'give', 'shit']"
comment : man want travel past say shes gon na cancer would make lifestyle much healthy avoided,"['comment', 'man', 'want', 'travel', 'past', 'say', 'shes', 'gon', 'na', 'cancer', 'would', 'make', 'lifestyle', 'much', 'healthy', 'avoid']"
comment : giving kushina looks pretty,"['comment', 'give', 'kushina', 'look', 'pretty']"
comment : sadness eyes,"['comment', 'sadness', 'eye']"
comment :,['comment']
comment : noooooooooooooooooooooo,"['comment', 'noooooooooooooooooooooo']"
comment : shes staying strong stream,"['comment', 'shes', 'stay', 'strong', 'stream']"
comment : tough,"['comment', 'tough']"
comment : hope get better soon way makes everything looks ok aswell respect,"['comment', 'hope', 'get', 'better', 'soon', 'way', 'make', 'everything', 'look', 'ok', 'aswell', 'respect']"
comment : nooooo technoblade kydae world like,"['comment', 'nooooo', 'technoblade', 'kydae', 'world', 'like']"
comment : see kushina uzumaki,"['comment', 'see', 'kushina', 'uzumaki']"
comment : cover wig immediately dont get women,"['comment', 'cover', 'wig', 'immediately', 'dont', 'get', 'women']"
comment : man sweetest world fucking unfair,"['comment', 'man', 'sweetest', 'world', 'fuck', 'unfair']"
comment : amazing shes excited wig shopping really badass,"['comment', 'amaze', 'shes', 'excite', 'wig', 'shop', 'really', 'badass']"
comment : im really religious comes cancer patients really wish higher power im glad tries little fun wig shopping least,"['comment', 'im', 'really', 'religious', 'come', 'cancer', 'patients', 'really', 'wish', 'higher', 'power', 'im', 'glad', 'try', 'little', 'fun', 'wig', 'shop', 'least']"
comment : strong,"['comment', 'strong']"
comment : kyedae strong dont dare tear,"['comment', 'kyedae', 'strong', 'dont', 'dare', 'tear']"
comment : please dont die,"['comment', 'please', 'dont', 'die']"
comment : also went bald last month health issues first embarassing quite like feels clean neat though cant relate kyedaes pain im boy,"['comment', 'also', 'go', 'bald', 'last', 'month', 'health', 'issue', 'first', 'embarassing', 'quite', 'like', 'feel', 'clean', 'neat', 'though', 'cant', 'relate', 'kyedaes', 'pain', 'im', 'boy']"
comment : im another wanted cry strong comment,"['comment', 'im', 'another', 'want', 'cry', 'strong', 'comment']"
comment : remind naruto mother kushinait look beautiful,"['comment', 'remind', 'naruto', 'mother', 'kushinait', 'look', 'beautiful']"
comment : misogynist kind hearted pure loyal among women respect heart hope recovers soon kardashian tryna cry would enjoying glass wine,"['comment', 'misogynist', 'kind', 'hearted', 'pure', 'loyal', 'among', 'women', 'respect', 'heart', 'hope', 'recover', 'soon', 'kardashian', 'tryna', 'cry', 'would', 'enjoy', 'glass', 'wine']"
comment : show bald head broo,"['comment', 'show', 'bald', 'head', 'broo']"
comment : bro fucking died someone said saitama cosplay,"['comment', 'bro', 'fuck', 'die', 'someone', 'say', 'saitama', 'cosplay']"
comment : beautiful even wig,"['comment', 'beautiful', 'even', 'wig']"
comment : hope get better,"['comment', 'hope', 'get', 'better']"
comment : keep fghting kyedae,"['comment', 'keep', 'fghting', 'kyedae']"
comment : uzumaki kushina,"['comment', 'uzumaki', 'kushina']"
comment : letting everyone know shes fighting cancer recovery soon,"['comment', 'let', 'everyone', 'know', 'shes', 'fight', 'cancer', 'recovery', 'soon']"
comment : kyedae cutest wigs beanies though,"['comment', 'kyedae', 'cutest', 'wigs', 'beanies', 'though']"
comment : shes stunning matter looks like personality keeps watching obviously shes also good looking without hair im serious tho see fighting girl amazing still praying recovery kyedae,"['comment', 'shes', 'stun', 'matter', 'look', 'like', 'personality', 'keep', 'watch', 'obviously', 'shes', 'also', 'good', 'look', 'without', 'hair', 'im', 'serious', 'tho', 'see', 'fight', 'girl', 'amaze', 'still', 'pray', 'recovery', 'kyedae']"
comment : want strong day,"['comment', 'want', 'strong', 'day']"
comment : looks like lily hair,"['comment', 'look', 'like', 'lily', 'hair']"
comment : kind figured wig,"['comment', 'kind', 'figure', 'wig']"
comment : probably still beautiful bald ’ matter tbh,"['comment', 'probably', 'still', 'beautiful', 'bald', 'matter', 'tbh']"
comment : kushina uzamaki,"['comment', 'kushina', 'uzamaki']"
comment : buy cheap af wig looks awful lol,"['comment', 'buy', 'cheap', 'af', 'wig', 'look', 'awful', 'lol']"
comment : ngl hairstyle make look like emiru bit,"['comment', 'ngl', 'hairstyle', 'make', 'look', 'like', 'emiru', 'bite']"
comment : kyedae strong ngl,"['comment', 'kyedae', 'strong', 'ngl']"
comment : shes trying find peace end,"['comment', 'shes', 'try', 'find', 'peace', 'end']"
comment : disabled clips didnt want guys upload clips stream still,"['comment', 'disable', 'clip', 'didnt', 'want', 'guy', 'upload', 'clip', 'stream', 'still']"
comment : fuck cancer bro,"['comment', 'fuck', 'cancer', 'bro']"
comment :,['comment']
comment : dont care tenz still lucky cool beautiful,"['comment', 'dont', 'care', 'tenz', 'still', 'lucky', 'cool', 'beautiful']"
comment : doesnt need wig lbh strong women wish best journey ik fight,"['comment', 'doesnt', 'need', 'wig', 'lbh', 'strong', 'women', 'wish', 'best', 'journey', 'ik', 'fight']"
comment : damm looked like bout cry,"['comment', 'damm', 'look', 'like', 'bout', 'cry']"
comment : goes bald reveal strongest jaw line f u,"['comment', 'go', 'bald', 'reveal', 'strongest', 'jaw', 'line', 'f', 'u']"
comment : poor kyedae stay strong got,"['comment', 'poor', 'kyedae', 'stay', 'strong', 'get']"
comment : gon na die lmfaoo,"['comment', 'gon', 'na', 'die', 'lmfaoo']"
comment : ’ beautiful,"['comment', 'beautiful']"
comment : realise biggest benefits bald try lot hair styles hair colours really easily,"['comment', 'realise', 'biggest', 'benefit', 'bald', 'try', 'lot', 'hair', 'style', 'hair', 'colour', 'really', 'easily']"
comment : bald buff incoming,"['comment', 'bald', 'buff', 'incoming']"
comment : people chat today constantly bringing attention hair situation demanding take hat constantly bringing non stop people going want normalcy constantly reminded sick people need stop parasocial af thinking told shown everything,"['comment', 'people', 'chat', 'today', 'constantly', 'bring', 'attention', 'hair', 'situation', 'demand', 'take', 'hat', 'constantly', 'bring', 'non', 'stop', 'people', 'go', 'want', 'normalcy', 'constantly', 'remind', 'sick', 'people', 'need', 'stop', 'parasocial', 'af', 'think', 'tell', 'show', 'everything']"
comment : attention seeker boo hoo shell looking like asian soon enough,"['comment', 'attention', 'seeker', 'boo', 'hoo', 'shell', 'look', 'like', 'asian', 'soon', 'enough']"
comment : looks beautiful anyways wish recovers fast possible,"['comment', 'look', 'beautiful', 'anyways', 'wish', 'recover', 'fast', 'possible']"
comment : fuck man,"['comment', 'fuck', 'man']"
comment : wig,"['comment', 'wig']"
comment : aw scalp reveal,"['comment', 'aw', 'scalp', 'reveal']"
comment : yes,"['comment', 'yes']"
comment : much respect nothings really changed ’ bald ’ personality,"['comment', 'much', 'respect', 'nothings', 'really', 'change', 'bald', 'personality']"
comment : pretty wigs,"['comment', 'pretty', 'wigs']"
comment : karin,"['comment', 'karin']"
comment : god tier level clickbait must add,"['comment', 'god', 'tier', 'level', 'clickbait', 'must', 'add']"
comment : omg love new hair,"['comment', 'omg', 'love', 'new', 'hair']"
comment : xd,"['comment', 'xd']"
comment : bald still hot fuck,"['comment', 'bald', 'still', 'hot', 'fuck']"
comment : men hard loosing hair cancer ’ imagine bad women really hope makes good recovery,"['comment', 'men', 'hard', 'loose', 'hair', 'cancer', 'imagine', 'bad', 'women', 'really', 'hope', 'make', 'good', 'recovery']"
comment : makima arc incoming,"['comment', 'makima', 'arc', 'incoming']"
comment : bro cypher ult,"['comment', 'bro', 'cypher', 'ult']"
comment : tbh would look good without hairs need “ fake hairs “,"['comment', 'tbh', 'would', 'look', 'good', 'without', 'hairs', 'need', 'fake', 'hairs']"
comment : slay girl youre amazing im praying beat,"['comment', 'slay', 'girl', 'youre', 'amaze', 'im', 'pray', 'beat']"
comment : valorant make agent maybe,"['comment', 'valorant', 'make', 'agent', 'maybe']"
comment : beautiful smile,"['comment', 'beautiful', 'smile']"
comment : kyedae kinda looks like anime girl looks good,"['comment', 'kyedae', 'kinda', 'look', 'like', 'anime', 'girl', 'look', 'good']"
comment : context pls really ’ understand ’ bald take blind guess bcs ig cancer ’ really know,"['comment', 'context', 'pls', 'really', 'understand', 'bald', 'take', 'blind', 'guess', 'bcs', 'ig', 'cancer', 'really', 'know']"
comment : prayers kyedae🤍,"['comment', 'prayers']"
comment : omg kurisu steinsgate,"['comment', 'omg', 'kurisu', 'steinsgate']"
comment : oh god steins gate,"['comment', 'oh', 'god', 'steins', 'gate']"
comment : ofc wig,"['comment', 'ofc', 'wig']"
comment : would call bald see unlocking unlimited hairstyle options,"['comment', 'would', 'call', 'bald', 'see', 'unlock', 'unlimited', 'hairstyle', 'options']"
comment : bald buff activated na players beware,"['comment', 'bald', 'buff', 'activate', 'na', 'players', 'beware']"
comment : god bless,"['comment', 'god', 'bless']"
comment : karin uzumaki ‍🦰🤓,"['comment', 'karin', 'uzumaki']"
comment : top queen,"['comment', 'top', 'queen']"
comment : u look cuteeeeeeeeeeeeeeeee,"['comment', 'u', 'look', 'cuteeeeeeeeeeeeeeeee']"
comment : know kyedaes gon na get thru,"['comment', 'know', 'kyedaes', 'gon', 'na', 'get', 'thru']"
comment : kyedae kasumi yoshizawa arc also shes brave shaving head daph well proves cares sm w matter happen hope kyedae safe recovery one streamers enjoy watching besides daph aceu tenz w,"['comment', 'kyedae', 'kasumi', 'yoshizawa', 'arc', 'also', 'shes', 'brave', 'shave', 'head', 'daph', 'well', 'prove', 'care', 'sm', 'w', 'matter', 'happen', 'hope', 'kyedae', 'safe', 'recovery', 'one', 'streamers', 'enjoy', 'watch', 'besides', 'daph', 'aceu', 'tenz', 'w']"
comment : stay strong,"['comment', 'stay', 'strong']"
comment : feel really sad like pain suffering visible smile hope gets better soon,"['comment', 'feel', 'really', 'sad', 'like', 'pain', 'suffer', 'visible', 'smile', 'hope', 'get', 'better', 'soon']"
comment : ex gfs sister cancer lost hair year later better hair grew back got gon na okay,"['comment', 'ex', 'gfs', 'sister', 'cancer', 'lose', 'hair', 'year', 'later', 'better', 'hair', 'grow', 'back', 'get', 'gon', 'na', 'okay']"
comment : holy fuck positive matter thats amazing,"['comment', 'holy', 'fuck', 'positive', 'matter', 'thats', 'amaze']"
comment :,['comment']
comment : id still hit,"['comment', 'id', 'still', 'hit']"
comment : gon na start cooking blue meth,"['comment', 'gon', 'na', 'start', 'cook', 'blue', 'meth']"
comment : makima cosplay lol,"['comment', 'makima', 'cosplay', 'lol']"
comment : cling life dies cling death lives,"['comment', 'cling', 'life', 'die', 'cling', 'death', 'live']"
comment : whats point shaving hair youre gon na wear wig anywayssuch woke people random shit money attention,"['comment', 'whats', 'point', 'shave', 'hair', 'youre', 'gon', 'na', 'wear', 'wig', 'anywayssuch', 'wake', 'people', 'random', 'shit', 'money', 'attention']"
comment : wasnt beautiful guys wouldnt even care ngl,"['comment', 'wasnt', 'beautiful', 'guy', 'wouldnt', 'even', 'care', 'ngl']"
comment : cancer,"['comment', 'cancer']"
comment : looks like kushina,"['comment', 'look', 'like', 'kushina']"
comment : hope gets better,"['comment', 'hope', 'get', 'better']"
comment : auper saiyan god looking good,"['comment', 'auper', 'saiyan', 'god', 'look', 'good']"
comment : could lilypichu,"['comment', 'could', 'lilypichu']"
comment : catch outside,"['comment', 'catch', 'outside']"
comment : makima,"['comment', 'makima']"
comment : pls god dont take us,"['comment', 'pls', 'god', 'dont', 'take', 'us']"
comment : fits wth,"['comment', 'fit', 'wth']"
comment : wig prettyyyy,"['comment', 'wig', 'prettyyyy']"
comment :,['comment']
comment : feel bad,"['comment', 'feel', 'bad']"
comment : im sure im alone thinking really seem like farming illness shouldnt time spend time offline family friends know im saying mean really sorry feels like shes farming way,"['comment', 'im', 'sure', 'im', 'alone', 'think', 'really', 'seem', 'like', 'farm', 'illness', 'shouldnt', 'time', 'spend', 'time', 'offline', 'family', 'friends', 'know', 'im', 'say', 'mean', 'really', 'sorry', 'feel', 'like', 'shes', 'farm', 'way']"
comment : get kyedae,"['comment', 'get', 'kyedae']"
comment : looking little bit like tenz,"['comment', 'look', 'little', 'bite', 'like', 'tenz']"
comment : got bald buff,"['comment', 'get', 'bald', 'buff']"
comment : hope god help live ducked world,"['comment', 'hope', 'god', 'help', 'live', 'duck', 'world']"
comment : thats jinchuriki,"['comment', 'thats', 'jinchuriki']"
comment : still cutee,"['comment', 'still', 'cutee']"
comment : daph shaving head speaks volume friends support well fans amazing,"['comment', 'daph', 'shave', 'head', 'speak', 'volume', 'friends', 'support', 'well', 'fan', 'amaze']"
comment :,['comment']
comment : kyedae strong positive person deserve best wishing fast recovery dont ever change beautiful soul,"['comment', 'kyedae', 'strong', 'positive', 'person', 'deserve', 'best', 'wish', 'fast', 'recovery', 'dont', 'ever', 'change', 'beautiful', 'soul']"
comment : see pain eyes,"['comment', 'see', 'pain', 'eye']"
comment : fact wanted cry badly didnt kyedae strong dont worry everything gon na alright gon na recover soon gon na comeback even stronger,"['comment', 'fact', 'want', 'cry', 'badly', 'didnt', 'kyedae', 'strong', 'dont', 'worry', 'everything', 'gon', 'na', 'alright', 'gon', 'na', 'recover', 'soon', 'gon', 'na', 'comeback', 'even', 'stronger']"
comment : sucks gon na miss kyedae,"['comment', 'suck', 'gon', 'na', 'miss', 'kyedae']"
comment : fam recomend fam,"['comment', 'fam', 'recomend', 'fam']"
comment : feel ’ devastated ’ showing ’ super strong,"['comment', 'feel', 'devastate', 'show', 'super', 'strong']"
comment : yvonne type haircut,"['comment', 'yvonne', 'type', 'haircut']"
comment : wearing wig sort like wearing hat,"['comment', 'wear', 'wig', 'sort', 'like', 'wear', 'hat']"
comment : looks like anime character,"['comment', 'look', 'like', 'anime', 'character']"
comment : looking like kushina uzumaki,"['comment', 'look', 'like', 'kushina', 'uzumaki']"
comment : sorry kyedae think red wig looks much vibrant well atleast likes complain,"['comment', 'sorry', 'kyedae', 'think', 'red', 'wig', 'look', 'much', 'vibrant', 'well', 'atleast', 'like', 'complain']"
comment : hope get recovery,"['comment', 'hope', 'get', 'recovery']"
comment : take wig look like bald wraith,"['comment', 'take', 'wig', 'look', 'like', 'bald', 'wraith']"
comment : see sadness eyes gives away,"['comment', 'see', 'sadness', 'eye', 'give', 'away']"
comment : almost gg,"['comment', 'almost', 'gg']"
comment : ive started watching clips streams since know whats cant stop admiring strong keep really difficult time life watching clip felt extremely sad even though tries best show sad emotions see sadness eyes really crushes people never anything bad life go type shit best know shes gon na fine sooner later,"['comment', 'ive', 'start', 'watch', 'clip', 'stream', 'since', 'know', 'whats', 'cant', 'stop', 'admire', 'strong', 'keep', 'really', 'difficult', 'time', 'life', 'watch', 'clip', 'felt', 'extremely', 'sad', 'even', 'though', 'try', 'best', 'show', 'sad', 'emotions', 'see', 'sadness', 'eye', 'really', 'crush', 'people', 'never', 'anything', 'bad', 'life', 'go', 'type', 'shit', 'best', 'know', 'shes', 'gon', 'na', 'fine', 'sooner', 'later']"
comment : wig,"['comment', 'wig']"
comment : ice spice,"['comment', 'ice', 'spice']"
comment : havent found donation,"['comment', 'havent', 'find', 'donation']"
comment : genuinely female streamer enjoy watching,"['comment', 'genuinely', 'female', 'streamer', 'enjoy', 'watch']"
comment : looks incredible anyways,"['comment', 'look', 'incredible', 'anyways']"
comment : eyes man shes trying strong idk,"['comment', 'eye', 'man', 'shes', 'try', 'strong', 'idk']"
comment : kushina,"['comment', 'kushina']"
comment : tbh baldae many options change hair color easier others lolll,"['comment', 'tbh', 'baldae', 'many', 'options', 'change', 'hair', 'color', 'easier', 'others', 'lolll']"
comment : welcome baldae,"['comment', 'welcome', 'baldae']"
comment : wait wig,"['comment', 'wait', 'wig']"
comment : looks like narutos mother,"['comment', 'look', 'like', 'narutos', 'mother']"
comment : real strong girl 🥺 feels sad go get sure im praying wellness,"['comment', 'real', 'strong', 'girl', 'feel', 'sad', 'go', 'get', 'sure', 'im', 'pray', 'wellness']"
comment :,['comment']
comment : saitama cosplay look amazing,"['comment', 'saitama', 'cosplay', 'look', 'amaze']"
comment : looking cheap wigs,"['comment', 'look', 'cheap', 'wigs']"
comment : rias gremory,"['comment', 'rias', 'gremory']"
comment : kaitama,"['comment', 'kaitama']"
comment : oh hope wont start playing critically acclaimed mmos transmog competitions,"['comment', 'oh', 'hope', 'wont', 'start', 'play', 'critically', 'acclaim', 'mmos', 'transmog', 'competitions']"
comment : look like tyson,"['comment', 'look', 'like', 'tyson']"
comment : looks like waifu,"['comment', 'look', 'like', 'waifu']"
comment : damn rip,"['comment', 'damn', 'rip']"
comment : look like girl sings otona blue,"['comment', 'look', 'like', 'girl', 'sing', 'otona', 'blue']"
comment : whats point hide bald head friends getting bald help feel comfortable,"['comment', 'whats', 'point', 'hide', 'bald', 'head', 'friends', 'get', 'bald', 'help', 'feel', 'comfortable']"
comment : andrew tate female version moneyshe influenctialshe networkingshe glasses althou shadedsungalsses type sadly bald,"['comment', 'andrew', 'tate', 'female', 'version', 'moneyshe', 'influenctialshe', 'networkingshe', 'glass', 'althou', 'shadedsungalsses', 'type', 'sadly', 'bald']"
comment : katarina,"['comment', 'katarina']"
comment : hope gets well soon remember watching streams burnt shit lost meaning life feeling happy little bc streams hope recovers,"['comment', 'hope', 'get', 'well', 'soon', 'remember', 'watch', 'stream', 'burn', 'shit', 'lose', 'mean', 'life', 'feel', 'happy', 'little', 'bc', 'stream', 'hope', 'recover']"
comment : tomato variant kyedae,"['comment', 'tomato', 'variant', 'kyedae']"
comment : bro feel sorry chair playing video games life brooo gon regret,"['comment', 'bro', 'feel', 'sorry', 'chair', 'play', 'video', 'game', 'life', 'brooo', 'gon', 'regret']"
comment : tenz sad,"['comment', 'tenz', 'sad']"
comment : kyedae pretty bald,"['comment', 'kyedae', 'pretty', 'bald']"
comment : muslim homies know nazr real thing kyedae victim,"['comment', 'muslim', 'homies', 'know', 'nazr', 'real', 'thing', 'kyedae', 'victim']"
comment : saitama,"['comment', 'saitama']"
comment : cool wig tho,"['comment', 'cool', 'wig', 'tho']"
comment : thing taught us kyedae would look incredible red hair,"['comment', 'thing', 'teach', 'us', 'kyedae', 'would', 'look', 'incredible', 'red', 'hair']"
comment : yet people bang much tooth hurts people fight cancer dont complain,"['comment', 'yet', 'people', 'bang', 'much', 'tooth', 'hurt', 'people', 'fight', 'cancer', 'dont', 'complain']"
comment : pleasse defeat cancer sooner want nana cured breast cancer,"['comment', 'pleasse', 'defeat', 'cancer', 'sooner', 'want', 'nana', 'cure', 'breast', 'cancer']"
comment : sorry agree pilgrim others regarding macmillan giving toss father diagnosed neck cancer earlier year given green folder telephone number sent way havent heard nurse day found son like oh well may want talk bringing appointments instead sending ambulance fuck macmillan run around reorganising juggling life whilst dealing possibility losing father save nhs quid wouldnt give advise anyone donate money macmillan cancer support last charity earth advert far experience case actually let hit floor,"['comment', 'sorry', 'agree', 'pilgrim', 'others', 'regard', 'macmillan', 'give', 'toss', 'father', 'diagnose', 'neck', 'cancer', 'earlier', 'year', 'give', 'green', 'folder', 'telephone', 'number', 'send', 'way', 'havent', 'hear', 'nurse', 'day', 'find', 'son', 'like', 'oh', 'well', 'may', 'want', 'talk', 'bring', 'appointments', 'instead', 'send', 'ambulance', 'fuck', 'macmillan', 'run', 'around', 'reorganise', 'juggle', 'life', 'whilst', 'deal', 'possibility', 'lose', 'father', 'save', 'nhs', 'quid', 'wouldnt', 'give', 'advise', 'anyone', 'donate', 'money', 'macmillan', 'cancer', 'support', 'last', 'charity', 'earth', 'advert', 'far', 'experience', 'case', 'actually', 'let', 'hit', 'floor']"
comment : still powerfull cancer advert ive seen look faces hits home music together chokes,"['comment', 'still', 'powerfull', 'cancer', 'advert', 'ive', 'see', 'look', 'face', 'hit', 'home', 'music', 'together', 'choke']"
comment : friend macmillian end name called bryan macmillian,"['comment', 'friend', 'macmillian', 'end', 'name', 'call', 'bryan', 'macmillian']"
comment : powerful ad answer question asked couple times previously song snowbirds flown band silent film oxford amazing group guys believe strongly cause cancer affected us way,"['comment', 'powerful', 'ad', 'answer', 'question', 'ask', 'couple', 'time', 'previously', 'song', 'snowbirds', 'fly', 'band', 'silent', 'film', 'oxford', 'amaze', 'group', 'guy', 'believe', 'strongly', 'cause', 'cancer', 'affect', 'us', 'way']"
comment : rip grandpa,"['comment', 'rip', 'grandpa']"
comment :,['comment']
comment : someone please tell song pleaseee,"['comment', 'someone', 'please', 'tell', 'song', 'pleaseee']"
comment : makes cry couple months christmas told mum lung cancer radiotherapy may got told worked cancersurvivingmum,"['comment', 'make', 'cry', 'couple', 'months', 'christmas', 'tell', 'mum', 'lung', 'cancer', 'radiotherapy', 'may', 'get', 'tell', 'work', 'cancersurvivingmum']"
comment : powerful advert,"['comment', 'powerful', 'advert']"
