Text,Tokenized,Sentiment Scores
cancer negative using powerful herbs priestess ig voodooonotse1 contact via link https thevoodoolovegoddess webs com,"['cancer', 'negative', 'using', 'powerful', 'herbs', 'priestess', 'ig', 'voodooonotse1', 'contact', 'via', 'link', 'https', 'webs', 'com']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
strong jesus save belive ask,"['strong', 'jesus', 'save', 'belive', 'ask']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
keep going still purpose life think positive survive surrounded people loves praying,"['keep', 'going', 'still', 'purpose', 'life', 'think', 'positive', 'survive', 'surrounded', 'people', 'loves', 'praying']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
cl,['cl'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
beautiful couple prayers gum help taste sorry stupid thank sharing realize process soo much sooo strong,"['beautiful', 'couple', 'prayers', 'gum', 'help', 'taste', 'sorry', 'stupid', 'thank', 'sharing', 'realize', 'process', 'soo', 'much', 'sooo', 'strong']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
blessings dear child god helpful nature actual condition could think work brave smart example us complain minor aches pains comparison love hugs prayers,"['blessings', 'dear', 'child', 'god', 'helpful', 'nature', 'actual', 'condition', 'could', 'think', 'work', 'brave', 'smart', 'example', 'us', 'complain', 'minor', 'aches', 'pains', 'comparison', 'love', 'hugs', 'prayers']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
prayers keep strong stronger husband great support lost wife pancreatic cancer stage 5 symptoms took 14 days loose 11 month ago nevertheless two kids autist everyday rosary last rosary pray cancer patient give news time time faith god miracle god loves kids remember one,"['prayers', 'keep', 'strong', 'stronger', 'husband', 'great', 'support', 'lost', 'wife', 'pancreatic', 'cancer', 'stage', 'symptoms', 'took', '14', 'days', 'loose', '11', 'month', 'ago', 'nevertheless', 'two', 'kids', 'autist', 'everyday', 'rosary', 'last', 'rosary', 'pray', 'cancer', 'patient', 'give', 'news', 'time', 'time', 'faith', 'god', 'miracle', 'god', 'loves', 'kids', 'remember', 'one']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
hope came win type small fight came keep motivated,"['hope', 'came', 'win', 'type', 'small', 'fight', 'came', 'keep', 'motivated']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
dear delia dylon never stop praying god pray everyday know god hear wait miracles god good amen,"['dear', 'delia', 'dylon', 'never', 'stop', 'praying', 'god', 'pray', 'everyday', 'know', 'god', 'hear', 'wait', 'miracles', 'god', 'good', 'amen']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
povera ragazza spero tanto riesca guarire,"['povera', 'ragazza', 'spero', 'tanto', 'riesca', 'guarire']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
super glad cancer negative using herbal medicine dr owoama youtube,"['super', 'glad', 'cancer', 'negative', 'using', 'herbal', 'medicine', 'dr', 'owoama', 'youtube']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
mom beat stage one breast cancer bladder cancer bladder cancer early stage covid started got,"['mom', 'beat', 'stage', 'one', 'breast', 'cancer', 'bladder', 'cancer', 'bladder', 'cancer', 'early', 'stage', 'covid', 'started', 'got']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
hope okay pray,"['hope', 'okay', 'pray']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
super glad cancer negative using herbal medicine dr owoama youtube,"['super', 'glad', 'cancer', 'negative', 'using', 'herbal', 'medicine', 'dr', 'owoama', 'youtube']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
love,['love'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
brave hang,"['brave', 'hang']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
100x times braver,"['100x', 'times', 'braver']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
strong,['strong'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
please get well,"['please', 'get', 'well']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
wow sad 2 time cancer survivor want take chemo radiation 67 kept going faith head worries god bless know feeling hang praying god bless always,"['wow', 'sad', 'time', 'cancer', 'survivor', 'want', 'take', 'chemo', 'radiation', '67', 'kept', 'going', 'faith', 'head', 'worries', 'god', 'bless', 'know', 'feeling', 'hang', 'praying', 'god', 'bless', 'always']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
thanks doctor cured cancer almost get rid life,"['thanks', 'doctor', 'cured', 'cancer', 'almost', 'get', 'rid', 'life']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
lung cancer currently hospital diagnosed 2 days ago lot meds,"['lung', 'cancer', 'currently', 'hospital', 'diagnosed', 'days', 'ago', 'lot', 'meds']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
pray ever day delia going chemo see positive helps awful lot people bottom heart thank send love family warm wishes may god bless 6us lots love maria xxxx,"['pray', 'ever', 'day', 'delia', 'going', 'chemo', 'see', 'positive', 'helps', 'awful', 'lot', 'people', 'bottom', 'heart', 'thank', 'send', 'love', 'family', 'warm', 'wishes', 'may', 'god', 'bless', '6us', 'lots', 'love', 'maria', 'xxxx']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
awwwww god bless yous,"['awwwww', 'god', 'bless', 'yous']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
aunt survivor 25 years negative test found lumps tough,"['aunt', 'survivor', '25', 'years', 'negative', 'test', 'found', 'lumps', 'tough']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
take care get well soon,"['take', 'care', 'get', 'well', 'soon']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
people take chemo pills apposed infusion sister glioblastoma unfortunately takes pill form well wishes sent cancers suck,"['people', 'take', 'chemo', 'pills', 'apposed', 'infusion', 'sister', 'glioblastoma', 'unfortunately', 'takes', 'pill', 'form', 'well', 'wishes', 'sent', 'cancers', 'suck']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
wow beautiful hate anyone go amount stress leaves everyone pain leaves patient wish cure hate affect people love ones sorry experience beloved,"['wow', 'beautiful', 'hate', 'anyone', 'go', 'amount', 'stress', 'leaves', 'everyone', 'pain', 'leaves', 'patient', 'wish', 'cure', 'hate', 'affect', 'people', 'love', 'ones', 'sorry', 'experience', 'beloved']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
kisses italy,"['kisses', 'italy']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
comforting see people openly share journey also posting videos thanks sharing,"['comforting', 'see', 'people', 'openly', 'share', 'journey', 'also', 'posting', 'videos', 'thanks', 'sharing']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
god bless guys amazing worked years cancer patients changed life never ever take things granted,"['god', 'bless', 'guys', 'amazing', 'worked', 'years', 'cancer', 'patients', 'changed', 'life', 'never', 'ever', 'take', 'things', 'granted']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
today,['today'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
incredible inspiration keep faith also follow mama sue breast cancer,"['incredible', 'inspiration', 'keep', 'faith', 'also', 'follow', 'mama', 'sue', 'breast', 'cancer']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
ayo hair,"['ayo', 'hair']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
angel,['angel'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
please take nothing destroy ur body inside chances get better 1 treat cancer 1 2 months eating cruciferous vegetables must organic make juices also garlic green inside lemon lemon skin onions good water must spring water also take graviola capsules 4 day get something called pao pereira also start releasing fasting must need fast body eats bad stuff inside start checking food habits eliminate non organic foods alcohol etc ur life meant bodies consume like ducks allowed eat bread yet eat guess happens ducks get sick die thing us humans specific food eat others eat research trust people saying doctor benefits money buisness careful promise follow wrote cured100 1 2 months research said see think well friends around followed diet many doctors like herbalist doctor example tells even great knowledge herb 100 cure depending type problem alternative cancer treatments wish best really hope realise nowadays lifestyles unfortunately wrong unfortunately certain ppl actually benefit,"['please', 'take', 'nothing', 'destroy', 'ur', 'body', 'inside', 'chances', 'get', 'better', 'treat', 'cancer', 'months', 'eating', 'cruciferous', 'vegetables', 'must', 'organic', 'make', 'juices', 'also', 'garlic', 'green', 'inside', 'lemon', 'lemon', 'skin', 'onions', 'good', 'water', 'must', 'spring', 'water', 'also', 'take', 'graviola', 'capsules', 'day', 'get', 'something', 'called', 'pao', 'pereira', 'also', 'start', 'releasing', 'fasting', 'must', 'need', 'fast', 'body', 'eats', 'bad', 'stuff', 'inside', 'start', 'checking', 'food', 'habits', 'eliminate', 'non', 'organic', 'foods', 'alcohol', 'etc', 'ur', 'life', 'meant', 'bodies', 'consume', 'like', 'ducks', 'allowed', 'eat', 'bread', 'yet', 'eat', 'guess', 'happens', 'ducks', 'get', 'sick', 'die', 'thing', 'us', 'humans', 'specific', 'food', 'eat', 'others', 'eat', 'research', 'trust', 'people', 'saying', 'doctor', 'benefits', 'money', 'buisness', 'careful', 'promise', 'follow', 'wrote', 'cured100', 'months', 'research', 'said', 'see', 'think', 'well', 'friends', 'around', 'followed', 'diet', 'many', 'doctors', 'like', 'herbalist', 'doctor', 'example', 'tells', 'even', 'great', 'knowledge', 'herb', '100', 'cure', 'depending', 'type', 'problem', 'alternative', 'cancer', 'treatments', 'wish', 'best', 'really', 'hope', 'realise', 'nowadays', 'lifestyles', 'unfortunately', 'wrong', 'unfortunately', 'certain', 'ppl', 'actually', 'benefit']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
querida delia llegara el dia diras estoy enferma nunca mas esta promesa esta biblia isaias cap 33 vers 24 apocalipsis cap 21 vers 3 4 mas informacion idioma tjworg valla muy bien,"['querida', 'delia', 'llegara', 'el', 'dia', 'diras', 'estoy', 'enferma', 'nunca', 'mas', 'esta', 'promesa', 'esta', 'biblia', 'isaias', 'cap', '33', 'vers', '24', 'apocalipsis', 'cap', '21', 'vers', 'mas', 'informacion', 'idioma', 'tjworg', 'valla', 'muy', 'bien']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
thank sharing know exactly 12 years ago chemotherapy radiation 6 six months strong brave light end tunnel,"['thank', 'sharing', 'know', 'exactly', '12', 'years', 'ago', 'chemotherapy', 'radiation', 'six', 'months', 'strong', 'brave', 'light', 'end', 'tunnel']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
strong beautiful girl,"['strong', 'beautiful', 'girl']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
fighter sure mom cancer 2019 cancer free 2021 love positive attitude know cancer free soon thanks sharing story gook luck,"['fighter', 'sure', 'mom', 'cancer', '2019', 'cancer', 'free', '2021', 'love', 'positive', 'attitude', 'know', 'cancer', 'free', 'soon', 'thanks', 'sharing', 'story', 'gook', 'luck']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
may allah save disease pray,"['may', 'allah', 'save', 'disease', 'pray']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
get chemo died conferm bileduct,"['get', 'chemo', 'died', 'conferm', 'bileduct']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
dad,['dad'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
brave woman life throws lemons make lemonade knowledge meds procedure great thinking would blank patient,"['brave', 'woman', 'life', 'throws', 'lemons', 'make', 'lemonade', 'knowledge', 'meds', 'procedure', 'great', 'thinking', 'would', 'blank', 'patient']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
stay strong preety woman gona pray 4 hold hope strong,"['stay', 'strong', 'preety', 'woman', 'gona', 'pray', 'hold', 'hope', 'strong']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
auntie survive cancer without chemotherapy treatment naturally food make healthy life syle 1 repent sin sorry jesus christ praise god healed also allergy,"['auntie', 'survive', 'cancer', 'without', 'chemotherapy', 'treatment', 'naturally', 'food', 'make', 'healthy', 'life', 'syle', 'repent', 'sin', 'sorry', 'jesus', 'christ', 'praise', 'god', 'healed', 'also', 'allergy']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
recommend dr gbenga herbal mixture anyone want cure leukemia totally cured 4 years leukemia,"['recommend', 'dr', 'gbenga', 'herbal', 'mixture', 'anyone', 'want', 'cure', 'leukemia', 'totally', 'cured', 'years', 'leukemia']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
انتي قويه وشجاعه,"['انتي', 'قويه', 'وشجاعه']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
haha lol,"['haha', 'lol']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
https youtube com watch r6 t4hdedj8 feature share,"['https', 'youtube', 'com', 'watch', 'r6', 't4hdedj8', 'feature', 'share']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
god bless two,"['god', 'bless', 'two']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
выздоравливай быстрей обещаешь,"['выздоравливай', 'быстрей', 'обещаешь']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
ella una chica tan valiente,"['ella', 'una', 'chica', 'tan', 'valiente']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
fuck man young god bless sweet girl,"['fuck', 'man', 'young', 'god', 'bless', 'sweet', 'girl']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
god bless strong sweet soul granddaughter recently passed away leukemia able treatments due covid 19 thank explaining things understand little angle went fighter till end,"['god', 'bless', 'strong', 'sweet', 'soul', 'granddaughter', 'recently', 'passed', 'away', 'leukemia', 'able', 'treatments', 'due', 'covid', '19', 'thank', 'explaining', 'things', 'understand', 'little', 'angle', 'went', 'fighter', 'till', 'end']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
proud,['proud'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
thank much documenting journey courageous warrioress,"['thank', 'much', 'documenting', 'journey', 'courageous', 'warrioress']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
god bless hope everything goes well young lovely niece went 25 hodgkin lymphoma,"['god', 'bless', 'hope', 'everything', 'goes', 'well', 'young', 'lovely', 'niece', 'went', '25', 'hodgkin', 'lymphoma']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
hang young lady pray,"['hang', 'young', 'lady', 'pray']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
totally amazing yes true brave beautiful real fighter wishing everything humanly possible going well looked loved cared progress diagnosed non hodgkins lymphoma march remission praise jesus forget believe pray prayer good good long story 3 major illnesses life know latterly saved 3 times anyway wishing absolute best thinking sweetly adrian bermuda,"['totally', 'amazing', 'yes', 'true', 'brave', 'beautiful', 'real', 'fighter', 'wishing', 'everything', 'humanly', 'possible', 'going', 'well', 'looked', 'loved', 'cared', 'progress', 'diagnosed', 'non', 'hodgkins', 'lymphoma', 'march', 'remission', 'praise', 'jesus', 'forget', 'believe', 'pray', 'prayer', 'good', 'good', 'long', 'story', 'major', 'illnesses', 'life', 'know', 'latterly', 'saved', 'times', 'anyway', 'wishing', 'absolute', 'best', 'thinking', 'sweetly', 'adrian', 'bermuda']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
got first second chemo treatment got,"['got', 'first', 'second', 'chemo', 'treatment', 'got']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
man life unfair bless,"['man', 'life', 'unfair', 'bless']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
pido dios sanes esa enfermedad el nombre jesús,"['pido', 'dios', 'sanes', 'esa', 'enfermedad', 'el', 'nombre', 'jesús']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
go mega vegan,"['go', 'mega', 'vegan']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
fluids day blood sugar high nurse actually told everyone taste saline,"['fluids', 'day', 'blood', 'sugar', 'high', 'nurse', 'actually', 'told', 'everyone', 'taste', 'saline']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
heart aches see go pain hope pray get well soon girl love india,"['heart', 'aches', 'see', 'go', 'pain', 'hope', 'pray', 'get', 'well', 'soon', 'girl', 'love', 'india']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
really hard prayers young undergo treatment,"['really', 'hard', 'prayers', 'young', 'undergo', 'treatment']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
brave woman,"['brave', 'woman']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
wish best,"['wish', 'best']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
u fine,['fine'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
hi iam watching really inspiration truly going beautiful life,"['hi', 'iam', 'watching', 'really', 'inspiration', 'truly', 'going', 'beautiful', 'life']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
father cancer survivor cancer free 11 years god good,"['father', 'cancer', 'survivor', 'cancer', 'free', '11', 'years', 'god', 'good']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
chemo treatment 6 years ago due stomach cancer half stomach removed still please strong may god bless always,"['chemo', 'treatment', 'years', 'ago', 'due', 'stomach', 'cancer', 'half', 'stomach', 'removed', 'still', 'please', 'strong', 'may', 'god', 'bless', 'always']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
wow life rude,"['wow', 'life', 'rude']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
hi,['hi'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
god bless delia last chemo 1996 things changed much,"['god', 'bless', 'delia', 'last', 'chemo', '1996', 'things', 'changed', 'much']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
wish fast recovery really hope doctors find way keep people away cancers,"['wish', 'fast', 'recovery', 'really', 'hope', 'doctors', 'find', 'way', 'keep', 'people', 'away', 'cancers']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
received red devil god bless fellow warrior waiting ring bell,"['received', 'red', 'devil', 'god', 'bless', 'fellow', 'warrior', 'waiting', 'ring', 'bell']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
god bless babygirl lisa tim prayin honey,"['god', 'bless', 'babygirl', 'lisa', 'tim', 'prayin', 'honey']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
plant based diet cure cancer,"['plant', 'based', 'diet', 'cure', 'cancer']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
keep sharing testimony promised brother gets cured share testimony whole world hear thanking god sent save family stage collapsing brother cancer cancer family members time save lives thanks everyone goodbye,"['keep', 'sharing', 'testimony', 'promised', 'brother', 'gets', 'cured', 'share', 'testimony', 'whole', 'world', 'hear', 'thanking', 'god', 'sent', 'save', 'family', 'stage', 'collapsing', 'brother', 'cancer', 'cancer', 'family', 'members', 'time', 'save', 'lives', 'thanks', 'everyone', 'goodbye']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
mom recently got diagnosed cancer watching video sure win battle,"['mom', 'recently', 'got', 'diagnosed', 'cancer', 'watching', 'video', 'sure', 'win', 'battle']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
della happy smile beat love love god bless,"['della', 'happy', 'smile', 'beat', 'love', 'love', 'god', 'bless']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
said 2 flushes heparin felt,"['said', 'flushes', 'heparin', 'felt']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
strong god heal lots love india,"['strong', 'god', 'heal', 'lots', 'love', 'india']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
brave warrior god bless family prayers,"['brave', 'warrior', 'god', 'bless', 'family', 'prayers']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
brave,['brave'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
cancer uncontrolled abnormal cell division cancer like breast cancer proliferation due hyperpituitarism hypercalcemia high copper chemotherapy works unwanted sideeffects intravenous somatostatin greatly suppress tumor formation cancer proliferation,"['cancer', 'uncontrolled', 'abnormal', 'cell', 'division', 'cancer', 'like', 'breast', 'cancer', 'proliferation', 'due', 'hypercalcemia', 'high', 'copper', 'chemotherapy', 'works', 'unwanted', 'sideeffects', 'intravenous', 'somatostatin', 'greatly', 'suppress', 'tumor', 'formation', 'cancer', 'proliferation']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
strong young lady god overcome see victorious gonna,"['strong', 'young', 'lady', 'god', 'overcome', 'see', 'victorious', 'gonna']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
brain tumer feel,"['brain', 'tumer', 'feel']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
trooper sadly back august 2020 mom lost battle ovarian cancer prayers,"['trooper', 'sadly', 'back', 'august', '2020', 'mom', 'lost', 'battle', 'ovarian', 'cancer', 'prayers']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
best thing ever happened come across dr moses youtube channel cured cancer insomnia natural herbs supplement 21 days gonna give contact info interested,"['best', 'thing', 'ever', 'happened', 'come', 'across', 'dr', 'moses', 'youtube', 'channel', 'cured', 'cancer', 'insomnia', 'natural', 'herbs', 'supplement', '21', 'days', 'gonna', 'give', 'contact', 'info', 'interested']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
say dr moses herbal treatment youtube channel best herbal roots cure cancer types infection africa living testimony give contact info anyone interested,"['say', 'dr', 'moses', 'herbal', 'treatment', 'youtube', 'channel', 'best', 'herbal', 'roots', 'cure', 'cancer', 'types', 'infection', 'africa', 'living', 'testimony', 'give', 'contact', 'info', 'anyone', 'interested']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
hey came across youtube channel days ago think yesterday praying strong keep going god got hands,"['hey', 'came', 'across', 'youtube', 'channel', 'days', 'ago', 'think', 'yesterday', 'praying', 'strong', 'keep', 'going', 'god', 'got', 'hands']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
sorry go trough strong keep going beautiful,"['sorry', 'go', 'trough', 'strong', 'keep', 'going', 'beautiful']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
cancer treatment electropathy medicine,"['cancer', 'treatment', 'electropathy', 'medicine']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
use chemo ports cause infection blood sepsis better get infused vein via simple infusion sets arm doctor tell chemo ports one percent chance infection take chance chemo port used 2 hours 21 days worth take risk,"['use', 'chemo', 'ports', 'cause', 'infection', 'blood', 'sepsis', 'better', 'get', 'infused', 'vein', 'via', 'simple', 'infusion', 'sets', 'arm', 'doctor', 'tell', 'chemo', 'ports', 'one', 'percent', 'chance', 'infection', 'take', 'chance', 'chemo', 'port', 'used', 'hours', '21', 'days', 'worth', 'take', 'risk']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
got girl fighter,"['got', 'girl', 'fighter']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
looks young 19,"['looks', 'young', '19']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
che dio ti aiuta ti da tanta salute riprenderti,"['che', 'dio', 'ti', 'aiuta', 'ti', 'da', 'tanta', 'salute', 'riprenderti']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
coraggio tesoro abbraccio con tutto mio,"['coraggio', 'tesoro', 'abbraccio', 'con', 'tutto', 'mio']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
chemo hurt,"['chemo', 'hurt']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
felt lil jelly coz 29 healthy 9yrs single love life sex life really something wrong hmf anyway hope get well completely soon love philippines,"['felt', 'lil', 'jelly', 'coz', '29', 'healthy', '9yrs', 'single', 'love', 'life', 'sex', 'life', 'really', 'something', 'wrong', 'hmf', 'anyway', 'hope', 'get', 'well', 'completely', 'soon', 'love', 'philippines']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
beautiful couple make say often,"['beautiful', 'couple', 'make', 'say', 'often']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
