Text,Tokenized,Sentiment Scores
35 radiations 5 chemos im done lost 40 pounds come back cancer behind win,"['35', 'radiations', 'chemos', 'im', 'done', 'lost', '40', 'pounds', 'come', 'back', 'cancer', 'behind', 'win']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
infusion nothing ordeal comes afterwards begin deal side effects chemo neuropathy nausea diarrhea acid reflux ad infinitum experience discomfort sensations acquired language describe exactly pain exactly pressure exactly nausea exactly know explain really symptoms caused disease cure,"['infusion', 'nothing', 'ordeal', 'comes', 'afterwards', 'begin', 'deal', 'side', 'effects', 'chemo', 'neuropathy', 'nausea', 'diarrhea', 'acid', 'reflux', 'ad', 'infinitum', 'experience', 'discomfort', 'sensations', 'acquired', 'language', 'describe', 'exactly', 'pain', 'exactly', 'pressure', 'exactly', 'nausea', 'exactly', 'know', 'explain', 'really', 'symptoms', 'caused', 'disease', 'cure']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
way young thu need disclose causing cancers,"['way', 'young', 'thu', 'need', 'disclose', 'causing', 'cancers']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
feryalxmakhedoom,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
27 death rate chemotherapy google friend died heart attack cardio toxicity chemo,"['27', 'death', 'rate', 'chemotherapy', 'google', 'friend', 'died', 'heart', 'attack', 'cardio', 'toxicity', 'chemo']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
pomegranate kills cancer cells kiwi fruit great garlic good fish oil great also,"['pomegranate', 'kills', 'cancer', 'cells', 'kiwi', 'fruit', 'great', 'garlic', 'good', 'fish', 'oil', 'great', 'also']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
start process never seen port thank sharing us,"['start', 'process', 'never', 'seen', 'port', 'thank', 'sharing', 'us']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
belive jesus medicine,"['belive', 'jesus', 'medicine']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
itzzz shee good,"['itzzz', 'shee', 'good']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
ugh breast cancer would sacks cancer waiting happen cut altogether prophylactic measure scared surgery would get insurance cover claiming non binary trans identity disgustingly fat skinny body anyway,"['ugh', 'breast', 'cancer', 'would', 'sacks', 'cancer', 'waiting', 'happen', 'cut', 'altogether', 'prophylactic', 'measure', 'scared', 'surgery', 'would', 'get', 'insurance', 'cover', 'claiming', 'non', 'binary', 'trans', 'identity', 'disgustingly', 'fat', 'skinny', 'body', 'anyway']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
hospice industry years people live longer chemo unless cancer vital organ heart lungs brain chemo causes mets,"['hospice', 'industry', 'years', 'people', 'live', 'longer', 'chemo', 'unless', 'cancer', 'vital', 'organ', 'heart', 'lungs', 'brain', 'chemo', 'causes', 'mets']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
may recover fast,"['may', 'recover', 'fast']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
stop cancer track stop eating sugar drink hot water fresh squeezed lemon juice month,"['stop', 'cancer', 'track', 'stop', 'eating', 'sugar', 'drink', 'hot', 'water', 'fresh', 'squeezed', 'lemon', 'juice', 'month']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
eat apricot seeds cure cancer,"['eat', 'apricot', 'seeds', 'cure', 'cancer']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
ela faleceu,"['ela', 'faleceu']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
may god bless cancer thank god bad never chemo radiation kind stuff may god bless brave person get lots love hope god get young world cruel like everything poison soil water even imagine really god bless 100 times,"['may', 'god', 'bless', 'cancer', 'thank', 'god', 'bad', 'never', 'chemo', 'radiation', 'kind', 'stuff', 'may', 'god', 'bless', 'brave', 'person', 'get', 'lots', 'love', 'hope', 'god', 'get', 'young', 'world', 'cruel', 'like', 'everything', 'poison', 'soil', 'water', 'even', 'imagine', 'really', 'god', 'bless', '100', 'times']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
went chemo radiation breast cancer supposed 4 infusions sick could 3 supposed 12 weeks chemo allergic drug also 20 radiation treatments,"['went', 'chemo', 'radiation', 'breast', 'cancer', 'supposed', 'infusions', 'sick', 'could', 'supposed', '12', 'weeks', 'chemo', 'allergic', 'drug', 'also', '20', 'radiation', 'treatments']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
ask jesus forgive sins heal,"['ask', 'jesus', 'forgive', 'sins', 'heal']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
praying healing first time channel god husband,"['praying', 'healing', 'first', 'time', 'channel', 'god', 'husband']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
hope feeling good,"['hope', 'feeling', 'good']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
tesò ho fatto 6 flebo 35 trattamenti di radio tutto nel 2017 per 5 anni ormone terapia sono trascorsi ben 6 anni adesso ho nuovamente ciclo sto bene aver sofferto non si dimentica bisogna avere tanto coraggio fede sono sposata abbiamo una figlia di 16 anni viva vita,"['tesò', 'ho', 'fatto', 'flebo', '35', 'trattamenti', 'di', 'radio', 'tutto', 'nel', '2017', 'per', 'anni', 'ormone', 'terapia', 'sono', 'trascorsi', 'ben', 'anni', 'adesso', 'ho', 'nuovamente', 'ciclo', 'sto', 'bene', 'aver', 'sofferto', 'non', 'si', 'dimentica', 'bisogna', 'avere', 'tanto', 'coraggio', 'fede', 'sono', 'sposata', 'abbiamo', 'una', 'figlia', 'di', '16', 'anni', 'viva', 'vita']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
wife cancer port became expert feeding cleaning port botched gallbladder surgery took 14 years passed miss today passed video popped feed look like came back months hospitals times taking care feeding port pray husband wife passed 10 years ago woman ever love hospital visits time kind hard would gladly spend hospital visit matter long boring presence beautiful wife god bless,"['wife', 'cancer', 'port', 'became', 'expert', 'feeding', 'cleaning', 'port', 'botched', 'gallbladder', 'surgery', 'took', '14', 'years', 'passed', 'miss', 'today', 'passed', 'video', 'popped', 'feed', 'look', 'like', 'came', 'back', 'months', 'hospitals', 'times', 'taking', 'care', 'feeding', 'port', 'pray', 'husband', 'wife', 'passed', '10', 'years', 'ago', 'woman', 'ever', 'love', 'hospital', 'visits', 'time', 'kind', 'hard', 'would', 'gladly', 'spend', 'hospital', 'visit', 'matter', 'long', 'boring', 'presence', 'beautiful', 'wife', 'god', 'bless']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
